"","Year","Council","ClaimantsAsPropOf16_65Pop","ClaimantCountAged16_24AtMarch","Population16_24","Proportion16_24AreClaimants"
"383","2020/21","West Dunbartonshire",8.1,875,8540,10.2
"384","2020/21","West Lothian",5.5,1435,18108,7.9
"385","2021/22","Aberdeen City",3.9,945,NA,NA
"386","2021/22","Aberdeenshire",2.4,685,NA,NA
"387","2021/22","Angus",3.2,430,NA,NA
"388","2021/22","Argyll and Bute",3.5,285,NA,NA
"389","2021/22","Clackmannanshire",4,215,NA,NA
"390","2021/22","Dumfries and Galloway",3.4,440,NA,NA
"391","2021/22","Dundee City",4.6,830,NA,NA
"392","2021/22","East Ayrshire",5,625,NA,NA
"393","2021/22","East Dunbartonshire",2.3,230,NA,NA
"394","2021/22","East Lothian",2.8,295,NA,NA
"395","2021/22","East Renfrewshire",2,165,NA,NA
"396","2021/22","City of Edinburgh",2.7,1315,NA,NA
"397","2021/22","Na h-Eileanan Siar",2.9,55,NA,NA
"398","2021/22","Falkirk",3.5,635,NA,NA
"399","2021/22","Fife",4,1650,NA,NA
"400","2021/22","Glasgow City",5.4,3435,NA,NA
"401","2021/22","Highland",2.9,630,NA,NA
"402","2021/22","Inverclyde",4.4,370,NA,NA
"403","2021/22","Midlothian",2.7,285,NA,NA
"404","2021/22","Moray",3,285,NA,NA
"405","2021/22","North Ayrshire",5.3,750,NA,NA
"406","2021/22","North Lanarkshire",4.1,1520,NA,NA
"407","2021/22","Orkney Islands",1.8,55,NA,NA
"408","2021/22","Perth and Kinross",2.7,385,NA,NA
"409","2021/22","Renfrewshire",3.6,620,NA,NA
"410","2021/22","Scottish Borders",3.3,375,NA,NA
"411","2021/22","Shetland Islands",2.2,60,NA,NA
"412","2021/22","South Ayrshire",4.5,460,NA,NA
"413","2021/22","South Lanarkshire",3.8,1140,NA,NA
"414","2021/22","Stirling",2.5,215,NA,NA
"415","2021/22","West Dunbartonshire",5.3,520,NA,NA
"416","2021/22","West Lothian",2.9,655,NA,NA
